ID,FishType,Name,Description,Habitat,CatchTier,Attractor,Rarity,SpecialLootID,Difficulty,Experience,Movement,CatchMissionCount1,CatchMissionCount2,CatchMissionCount3,BoonBonus
1,Small,Flamander,"Playful and abundant near the warmth of the lava powered vents. They are curious and will actively approach newcomers, although will dart as soon as they sense danger.",Normal,0,Carnivore,Common,0,Medium,10,Placeholder,5,10,50,3
2,Small,Flamander,"Playful and abundant near the warmth of the lava powered vents. They are curious and will actively approach newcomers, although will dart as soon as they sense danger.",Normal,0,Carnivore,Uncommon,0,Medium,15,Placeholder,5,10,50,3
3,Small,Flamander,"Playful and abundant near the warmth of the lava powered vents. They are curious and will actively approach newcomers, although will dart as soon as they sense danger.",Normal,0,Carnivore,Rare,0,Medium,20,Placeholder,5,10,50,3
4,Small,Flamander,"Playful and abundant near the warmth of the lava powered vents. They are curious and will actively approach newcomers, although will dart as soon as they sense danger.",Normal,0,Carnivore,Epic,0,Medium,25,Placeholder,5,10,50,3
5,Small,Flamander,"Playful and abundant near the warmth of the lava powered vents. They are curious and will actively approach newcomers, although will dart as soon as they sense danger.",Normal,0,Carnivore,Legendary,0,Medium,30,Placeholder,5,10,50,3
6,Small,Hauhauh,"Plump and bouncy, Hauhauh are not hard to find in the tropics, although they tend to stick closer to shallows and rocks. They are passive and actually pretty friendly.",Normal,0,Omnivore,Common,0,Medium,10,"Slow and floaty, like to jump when hooked.",5,10,50,3
7,Small,Hauhauh,"Plump and bouncy, Hauhauh are not hard to find in the tropics, although they tend to stick closer to shallows and rocks. They are passive and actually pretty friendly.",Normal,0,Omnivore,Uncommon,0,Medium,15,"Slow and floaty, like to jump when hooked.",5,10,50,3
8,Small,Hauhauh,"Plump and bouncy, Hauhauh are not hard to find in the tropics, although they tend to stick closer to shallows and rocks. They are passive and actually pretty friendly.",Normal,0,Omnivore,Rare,0,Medium,20,"Slow and floaty, like to jump when hooked.",5,10,50,3
9,Small,Hauhauh,"Plump and bouncy, Hauhauh are not hard to find in the tropics, although they tend to stick closer to shallows and rocks. They are passive and actually pretty friendly.",Normal,0,Omnivore,Epic,0,Medium,25,"Slow and floaty, like to jump when hooked.",5,10,50,3
10,Small,Hauhauh,"Plump and bouncy, Hauhauh are not hard to find in the tropics, although they tend to stick closer to shallows and rocks. They are passive and actually pretty friendly.",Normal,0,Omnivore,Legendary,0,Medium,30,"Slow and floaty, like to jump when hooked.",5,10,50,3
11,Small,Tadfish,"Quick, skittish but not the smartest, tadfish are probably the easiest to catch and most abundant species in the tropical zone.",Normal,0,Vegetarian,Common,0,Medium,10,"Quick movements, and pauses. They tend to not veer far from the rest of the school and are squirely but the simplest when it comes to catching them.",5,10,50,3
12,Small,Tadfish,"Quick, skittish but not the smartest, tadfish are probably the easiest to catch and most abundant species in the tropical zone.",Normal,0,Vegetarian,Uncommon,0,Medium,15,"Quick movements, and pauses. They tend to not veer far from the rest of the school and are squirely but the simplest when it comes to catching them.",5,10,50,3
13,Small ,Tadfish,"Quick, skittish but not the smartest, tadfish are probably the easiest to catch and most abundant species in the tropical zone.",Normal,0,Vegetarian,Rare,0,Medium,20,"Quick movements, and pauses. They tend to not veer far from the rest of the school and are squirely but the simplest when it comes to catching them.",5,10,50,3
14,Small,Tadfish,"Quick, skittish but not the smartest, tadfish are probably the easiest to catch and most abundant species in the tropical zone.",Normal,0,Vegetarian,Epic,0,Medium,25,"Quick movements, and pauses. They tend to not veer far from the rest of the school and are squirely but the simplest when it comes to catching them.",5,10,50,3
15,Small,Tadfish,"Quick, skittish but not the smartest, tadfish are probably the easiest to catch and most abundant species in the tropical zone.",Normal,0,Vegetarian,Legendary,0,Medium,30,"Quick movements, and pauses. They tend to not veer far from the rest of the school and are squirely but the simplest when it comes to catching them.",5,10,50,3
16,Small,Bubbla,"They swim in small pods but can also be found by themselves. The bubble on their heads helps them attract mates, but it also can be easily broken, so they are careful to avoid danger. They are relatively friendly and will follow the boat, but as soon as the boat goes near them, they will scatter. Even though they are in the small category, they are among the largest “small” fish.",Normal,0,Carnivore,Common,0,Medium,10,Placeholder,5,10,50,5
17,Small,Bubbla,"They swim in small pods but can also be found by themselves. The bubble on their heads helps them attract mates, but it also can be easily broken, so they are careful to avoid danger. They are relatively friendly and will follow the boat, but as soon as the boat goes near them, they will scatter. Even though they are in the small category, they are among the largest “small” fish.",Normal,0,Carnivore,Uncommon,0,Medium,15,Placeholder,5,10,50,5
18,Small,Bubbla,"They swim in small pods but can also be found by themselves. The bubble on their heads helps them attract mates, but it also can be easily broken, so they are careful to avoid danger. They are relatively friendly and will follow the boat, but as soon as the boat goes near them, they will scatter. Even though they are in the small category, they are among the largest “small” fish.",Normal,0,Carnivore,Rare,0,Medium,20,Placeholder,5,10,50,5
19,Small,Bubbla,"They swim in small pods but can also be found by themselves. The bubble on their heads helps them attract mates, but it also can be easily broken, so they are careful to avoid danger. They are relatively friendly and will follow the boat, but as soon as the boat goes near them, they will scatter. Even though they are in the small category, they are among the largest “small” fish.",Normal,0,Carnivore,Epic,0,Medium,25,Placeholder,5,10,50,5
20,Small,Bubbla,"They swim in small pods but can also be found by themselves. The bubble on their heads helps them attract mates, but it also can be easily broken, so they are careful to avoid danger. They are relatively friendly and will follow the boat, but as soon as the boat goes near them, they will scatter. Even though they are in the small category, they are among the largest “small” fish.",Normal,0,Carnivore,Legendary,0,Medium,30,Placeholder,5,10,50,5
21,Small,Zuko,"Quick moving aggressive fish that are difficult to hook. They like to hide among the rocks and other tight safe places, although the smell of meat catches their attention.",Normal,0,Carnivore,Common,0,Medium,10,"Jetting motions, where they will move forward and stop, and then move forward again which may be a challenge to deal with among the waves.",5,10,50,5
22,Small,Zuko,"Quick moving aggressive fish that are difficult to hook. They like to hide among the rocks and other tight safe places, although the smell of meat catches their attention.",Normal,0,Carnivore,Uncommon,0,Medium,15,"Jetting motions, where they will move forward and stop, and then move forward again which may be a challenge to deal with among the waves.",5,10,50,5
